vuln_group,auto,dist,walk,w,prop
media,con auto,4544.1764699491,False,1.48210391383712,Recreación
media,con auto,4544.1764699491,False,1.48210391383712,Recreación
media,con auto,4641.932108108547,False,1.48210391383712,Buscar o Dejar a alguien
baja,sin auto,1959.3885568211228,False,1.0,Trámites
baja,sin auto,1959.3885568211228,False,1.0,Trámites
media,sin auto,1282.1316250316306,True,1.48210391383712,De compras
alta,sin auto,4429.32372271716,False,0.817907347175127,De salud
alta,sin auto,2198.7493535477306,False,1.0,Trámites
alta,con auto,1888.5542347669684,False,1.0,De salud
alta,con auto,1011.6741660060627,True,1.48210391383712,De salud
media,sin auto,2163.6666515214974,False,1.0,De compras
media,sin auto,4193.1422492984375,False,1.0,Visitar a alguien
media,con auto,14296.4963119588,False,1.12721985301036,Visitar a alguien
baja,con auto,425.0192470366048,True,1.48210391383712,Trámites
alta,sin auto,37.46875,True,1.48210391383712,De compras
alta,sin auto,2186.2424691211772,False,1.0,De salud
media,sin auto,18457.05760236214,False,1.12721985301036,Visitar a alguien
media,con auto,350.2955016504815,True,1.48210391383712,De compras
media,con auto,688.6633800170897,False,1.48210391383712,De compras
media,con auto,170864.96646079738,False,1.48210391383712,Recreación
media,con auto,7406.677030938031,False,1.12721985301036,De salud
media,con auto,7413.725304502791,False,1.12721985301036,De salud
baja,sin auto,1563.6409634247882,False,1.0,De compras
alta,sin auto,10740.505109165024,False,1.0,De salud
alta,sin auto,3476.7886589360373,False,1.0,De compras
baja,con auto,12033.813324986599,False,1.12721985301036,De compras
baja,con auto,3107.2077522471845,False,1.48210391383712,De compras
baja,sin auto,1509.92270892058,False,1.12721985301036,Trámites
baja,sin auto,72.60950781405973,True,1.48210391383712,De compras
baja,sin auto,221.74323772454144,True,1.48210391383712,De compras
baja,sin auto,1479.4047419908454,False,1.0,Trámites
baja,sin auto,3888.4127054833134,False,1.12721985301036,De salud
baja,sin auto,10716.444948625176,False,0.817907347175127,De salud
alta,sin auto,3518.6317232841466,False,1.0,De salud
media,sin auto,632.2730602012472,True,1.48210391383712,De compras
baja,sin auto,513.2895223838711,False,1.0,Trámites
baja,sin auto,5480.121622737948,True,1.48210391383712,Trámites
baja,sin auto,3266.876509589282,False,1.48210391383712,Visitar a alguien
baja,sin auto,856.8710521426196,False,1.0,Trámites
baja,sin auto,1216.4468145130977,True,1.48210391383712,De compras
media,sin auto,8707.44261354412,False,1.0,De compras
baja,sin auto,16043.36590310701,False,1.0,Visitar a alguien
baja,con auto,2194.9564669035153,False,1.48210391383712,De compras
baja,sin auto,882.1778537375556,False,1.48210391383712,De compras
baja,sin auto,1440.4695415037418,False,1.48210391383712,Trámites
baja,sin auto,10559.621884182883,False,1.48210391383712,De salud
baja,sin auto,10559.621884182883,False,1.48210391383712,De salud
baja,con auto,12955.26992253056,False,1.0,De salud
baja,con auto,6603.363175499214,False,1.0430735418982884,De salud
baja,con auto,2429.6392288211355,False,1.0430735418982884,De salud
baja,con auto,280.39938731432704,True,1.48210391383712,De compras
baja,sin auto,526.3970483760927,True,1.48210391383712,De compras
baja,sin auto,4978.798149716958,False,1.48210391383712,Recreación
baja,sin auto,4515.4408224767,False,1.0,Trámites
baja,sin auto,720.9352764649283,False,1.48210391383712,De compras
baja,sin auto,9802.738597740174,False,1.12721985301036,Trámites
baja,sin auto,6275.301813272112,False,1.0,Visitar a alguien
media,con auto,10335.69764031021,False,1.12721985301036,De salud
baja,sin auto,424.4552391006618,True,1.48210391383712,De compras
baja,sin auto,423.6381501075682,True,1.48210391383712,De compras
media,con auto,4324.688508585221,False,1.0,Recreación
alta,sin auto,3639.2025359488102,False,1.12721985301036,Trámites
media,sin auto,8877.046918880174,False,1.12721985301036,De salud
media,sin auto,2478.3682890112523,False,1.12721985301036,De compras
media,sin auto,2829.2899679347556,False,1.48210391383712,De salud
media,sin auto,1687.8812211176362,True,1.48210391383712,De compras
